#{"t_start": 1691680379.9299045, "env_id": "JSBSim-v0"}
r,l,t
67.252948,1200,969.359875
-108.624921,713,969.937941
67.816348,1200,972.155522
65.36433,1200,974.372107
186.061193,1007,975.181397
-0.101665,1200,977.402965
186.068084,1078,978.270064
58.298343,1200,980.485651
66.063489,1200,981.453413
60.398668,1200,983.68395
69.946768,1200,985.929438
28.268758,1200,986.899193
36.331288,1200,989.166607
41.405833,1200,990.135366
71.561219,1200,992.383843
12.250625,1200,993.350609
63.578092,1200,995.581146
68.271624,1200,997.81866
48.088572,1200,998.795392
59.673941,1200,1001.050846
55.275506,1200,1002.018608
51.497116,1200,1004.269078
46.585955,1200,1006.508586
84.067513,1200,1007.475351
72.924678,1200,1009.725822
74.42931,1200,1010.694582
54.212205,1200,1012.973954
-28.067124,1077,1013.846039
86.340176,1200,1016.081557
-37.778443,1080,1018.221398
-38.289571,1097,1019.10544
185.73571,835,1021.064884
75.888448,1200,1022.035636
62.714631,1200,1024.248234
74.568609,1200,1025.217992
83.384366,1200,1027.473446
185.745168,930,1028.225925
47.754643,1200,1030.457459
65.486777,1200,1031.425221
66.866754,1200,1033.655759
80.651795,1200,1035.880316
74.656909,1200,1036.850071
82.058637,1200,1039.088582
-21.040052,1047,1039.934751
186.02514,863,1041.893198
-76.407297,685,1042.447345
76.835208,1200,1044.669911
185.390326,953,1045.437343
186.12591,795,1047.32403
85.940844,1200,1048.29478
64.912473,1200,1050.519338
185.52013,821,1051.18511
66.00837,1200,1053.432624
185.927936,911,1054.171159
71.428302,1200,1056.42458
61.895837,1200,1057.401312
53.503647,1200,1059.659756
-29.484662,1200,1060.639478
184.899093,865,1062.631896
59.478083,1200,1063.598578
-94.134961,540,1065.322809
-31.734231,1159,1066.270638
74.292379,1200,1068.516125
185.747823,846,1069.219771
64.71434,1200,1071.473232
186.109938,1027,1072.307441
83.083584,1200,1074.550935
67.626653,1200,1076.795425
71.048174,1200,1077.770164
-84.874087,673,1078.31534
186.002211,826,1080.247874
185.806772,1184,1081.214698
-89.59956,796,1083.137207
-67.718524,972,1083.93454
70.943647,1200,1086.17305
185.564831,934,1086.943473
72.937341,1200,1089.190953
59.829754,1200,1091.431552
-94.621347,533,1091.870986
185.509093,1022,1092.695229
46.90329,1200,1094.940718
61.033028,1200,1095.910471
41.053532,1200,1098.144995
75.075862,1200,1100.36457
52.468875,1200,1101.337314
-94.367289,822,1103.255895
46.243293,1200,1104.224654
60.092178,1200,1106.467152
186.036206,978,1107.258504
